customer_id,transaction_amount,transaction_sequence,fraud
1,3969.71,6,0
2,3295.96,10,0
3,2579.68,20,0
4,1679.27,8,0
5,3365.61,8,0
6,4033.78,5,0
7,127.0,8,0
8,4919.76,20,1
9,368.78,14,0
10,4431.25,19,0
11,3483.29,16,0
12,742.12,1,0
13,4463.84,4,0
14,3893.21,8,0
15,883.55,17,0
16,2325.43,18,0
17,1249.75,4,0
18,2285.03,15,0
19,3339.55,18,1
20,4750.45,15,1
21,3597.77,17,1
22,4534.74,15,1
23,3719.56,16,1
24,3760.13,9,0
25,3830.24,17,1
26,1200.03,15,0
27,392.03,10,0
28,1176.3,11,0
29,1601.95,18,0
30,407.49,5,0
31,1160.15,5,0
32,3533.56,3,0
33,2077.27,11,0
34,2715.34,14,0
35,316.02,14,0
36,1950.44,19,0
37,4730.58,1,0
38,4284.38,19,0
39,34.45,12,0
40,1496.57,13,0
41,4267.97,14,1
42,3674.5,20,1
43,2443.71,9,0
44,2182.0,1,0
45,1947.34,13,0
46,3622.29,15,1
47,4903.71,18,0
48,1973.13,19,0
49,3316.68,3,0
50,3215.53,5,0
51,4334.92,6,0
52,256.17,13,0
53,1640.13,15,0
54,1637.59,13,0
55,1394.89,14,0
56,1265.1,3,0
57,2354.18,18,0
58,265.17,12,0
59,1124.99,3,0
60,3907.26,2,0
61,3772.39,8,0
62,1000.81,1,0
63,3108.57,8,0
64,635.47,4,0
65,2822.03,7,0
66,2327.84,9,0
67,3835.66,6,0
68,3031.43,4,0
69,3890.07,6,0
70,4823.78,4,0
71,2895.53,10,0
72,2881.1,13,0
73,1986.29,7,0
74,384.6,8,0
75,514.0,10,0
76,4252.21,20,1
77,3982.15,19,1
78,1739.28,14,0
79,3309.3,3,0
80,2532.27,11,0
81,68.2,14,0
82,4112.54,4,0
83,2170.45,12,0
84,3179.75,15,1
85,2180.26,17,0
86,4827.54,9,0
87,3081.48,18,1
88,2327.04,19,0
89,1345.64,8,0
90,4154.5,3,0
91,1398.25,15,0
92,1223.1,15,0
93,2851.4,13,0
94,1685.3,16,0
95,4255.51,6,0
96,2440.31,12,0
97,3990.17,11,0
98,2982.79,9,0
99,2781.18,17,0
100,4740.57,3,0
101,1210.57,14,0
102,2445.45,8,0
103,3454.59,16,1
104,91.13,10,0
105,1111.87,8,0
106,1534.5,19,0
107,1848.26,18,0
108,2656.96,14,0
109,4983.17,18,0
110,3515.76,9,0
111,1536.58,8,0
112,607.68,7,0
113,1581.16,18,0
114,4754.63,6,0
115,961.75,16,0
116,1386.12,19,0
117,4883.15,17,1
118,4902.65,7,0
119,1484.75,12,0
120,901.31,1,0
121,3541.55,5,0
122,1375.19,2,0
123,2769.03,5,0
124,3191.16,16,0
125,66.27,10,0
126,2349.64,15,0
127,1706.83,2,0
128,1266.13,16,0
129,574.87,3,0
130,2006.53,3,0
131,2887.22,2,0
132,762.88,19,0
133,4745.88,3,0
134,4969.62,4,0
135,2792.57,14,0
136,3033.56,20,0
137,2615.25,15,0
138,4542.98,10,0
139,4301.53,14,0
140,3107.03,20,1
141,500.67,7,0
142,3129.45,9,0
143,3303.84,6,0
144,1203.13,18,0
145,379.95,1,0
146,2045.55,20,0
147,2352.21,2,0
148,1161.22,10,0
149,3516.42,15,0
150,1170.95,9,0
151,3940.2,19,1
152,4668.67,14,0
153,1127.92,5,0
154,4542.52,5,0
155,361.69,6,0
156,3964.18,20,1
157,2848.19,10,0
158,2198.57,15,0
159,3444.95,13,1
160,2504.86,16,0
161,2191.61,20,0
162,204.1,14,0
163,3674.0,20,0
164,461.18,19,0
165,2937.68,1,0
166,4997.86,9,0
167,2883.35,6,0
168,2355.15,15,0
169,4580.78,6,0
170,4984.74,14,1
171,2461.17,3,0
172,2352.7,14,0
173,1669.88,4,0
174,4289.38,11,1
175,2479.87,13,0
176,4068.76,18,0
